ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
40234,4234,Autonomous Municipality of Ponce,MAP,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,,,331709,Ponce,PR,733,1709,4,http://www.visitponce.com/,3049,91127365,40,"79,650",218,"Ponce, PR",,"149,539","3,389",44,N,8,,8,,
40236,4236,City of Marietta,,,Active,Building Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,205 Lawrence Street,,609,Marietta,GA,30061,609,4,www.mariettaga.gov,,78104403,,,9,"Atlanta, GA",,"4,515,419","1,707","2,645",Y,,,,,
40237,4237,Lancaster County Council on Aging,Lancaster Area Ride Service,LARS ,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2016,10/31/2016,,,1296,Lancaster,SC,29721,,4,http://lancastercoa.org,,869074435,555,"83,160",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,N,21,,21,,
40238,,City of Coconut Creek,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,4900 W. Copans Road,,,Coconut Creek,FL,33063,,4,http://www.coconutcreek.net/,1082,77275063,12,"59,302",4,"Miami, FL",,"5,502,379","4,442","1,239",,4,,4,,
40239,,City of Deerfield Beach/ North East Focal Point Senior Center,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,227 NW 2 Street,,,Deerfield Beach,FL,33441,,4,http://www.deerfield-beach.com/,0,86382090,16,"78,881",4,"Miami, FL",,"5,502,379","4,442","1,239",,7,,7,,
40240,,City of Lighthouse Point,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,4730 NE 21st Terrace,,,Lighthouse Point,FL,33064,,4,http://www.lighthousepoint.com/,1082,20549952,2,"10,344",4,"Miami, FL",,"5,502,379","4,442","1,239",,1,,1,,
40241,,City of Miramar - Public Works Department,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,13900 Pembroke Road,"WWRF Building L, 2nd Floor",,Miramar,FL,33027,,4,http://www.ci.miramar.fl.us/,0,76041334,30,"137,132",4,"Miami, FL",,"5,502,379","4,442","1,239",,7,,7,,
40244,,"Spartanburg Regional Health Services, Inc.",SRHS,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,9/30/2016,1/31/2017,101 E. Wood Street,Transportation Services Division,,Spartanburg,SC,29303,,4,https://www.spartanburgregional.com/patients-visitors/community-services/transportation-services/,0,52072048,811,"293,514",192,"Spartanburg, SC",,"180,786",951,190,,43,,43,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Clay Transit,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,12/31/2016,4/30/2017,604 Walnut St.,,,Green Cove Springs,FL,32043,,4,www.claytransit.com,0,20988697,881,"210,000",40,"Jacksonville, FL",,"1,065,219","2,009",530,,43,,43,,
40246,,"Center for Pan Asian Community Services, Inc.",CPACS,,Active,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,3/31/2016,10/31/2016,3510 Shallowford Rd NE,,,Chamblee,GA,30341,,4,www.icpacs.org,,883283574,94,"1,209,239",9,"Atlanta, GA",,"4,515,419","1,707","2,645",,9,,9,,
40247,,Shelby County Government,MAR,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,814 Jefferson Avenue,,,Memphis,TN,38105,,4,www.shelbycountytn.gov,,41174889,319,"744,444",41,"Memphis, TN-MS-AR",,"1,060,061","2,132",497,,,27,27,,
40248,,Town of Hillsboro Beach,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1210 Hillsboro Mile,,,Hillsboro Beach,FL,33062,,4,http://www.townofhillsborobeach.com/community-information/shuttle-bus-schedule/,1082,24472789,2,"1,964",4,"Miami, FL",,"5,502,379","4,442","1,239",,,1,1,,
40249,,City of Hallandale Beach,COHB,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,400 South Federal Highway,,,Hallandale Beach,FL,33009,,4,http://www.cohb.org/,1082,89606685,5,"39,488",4,"Miami, FL",,"5,502,379","4,442","1,239",,,4,4,,
40250,,City of Lauderdale Lakes,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,4331 NW 36th Street,,,Lauderdale Lakes,FL,33319,,4,http://www.lauderdalelakes.org/,0,82413600,4,"34,796",4,"Miami, FL",,"5,502,379","4,442","1,239",,,2,2,,
40251,,City of Pembroke Pines,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,301 NW 103 Avenue,,,Pembrokes Pines,FL,33026,,4,http://www.ppines.com/index.aspx?NID=315,0,24485310,35,"166,611",4,"Miami, FL",,"5,502,379","4,442","1,239",,,7,7,,
40252,,Link Transit - Burlington,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,234 Summit Avenue,,,Burlington,NC,27215,,4,www.linktransit.org,7289,71565170,26,"56,500",261,"Burlington, NC",,"119,911","1,326",90,,,7,7,,
40253,,City of Coral Springs,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,2501 Coral Springs Drive,,,Coral Springs,FL,33065,,4,http://www.coralsprings.org/,,10439826,24,"129,485",4,"Miami, FL",,"5,502,379","4,442","1,239",,,2,2,,
40254,,City of Lauderhill,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,5581 West Oakland Park Blvd.,Transportation Division,,Lauderhill,FL,33313,,4,http://www.lauderhill-fl.gov/,1082,72238108,9,"71,579",4,"Miami, FL",,"5,502,379","4,442","1,239",,,7,7,,
40255,,City of Hollywood,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,2600 Hollywood Blvd,,,Hollywood,FL,33020,,4,http://www.hollywoodfl.org,,76022136,31,"149,728",4,"Miami, FL",,"5,502,379","4,442","1,239",,,3,3,,
40256,,City of Margate,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,102 Rock Island Rd.,,,Margate,FL,33063,,4,http://www.margatefl.com,,10439768,9,"57,234",4,"Miami, FL",,"5,502,379","4,442","1,239",,7,3,10,,
40257,,City of Pompano Beach,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,100 W Atlantic Blvd,,,Pompano Beach,FL,33060,,4,http://pompanobeachfl.gov/,,79412147,25,"107,762",4,"Miami, FL",,"5,502,379","4,442","1,239",,,4,4,,
40258,,"The Looper Group, Inc.",,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2016,1/31/2017,224 Second Avenue North,Suite 201,,St. Petersburg,FL,33701,,4,http://www.loopertrolley.com,,15807474,4,"17,255",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,,2,,2,,
40259,,"Jolley Trolley Transportation of Clearwater, Inc.",PSTA,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,9/30/2016,1/31/2017,410 North Myrtle Avenue,,,Clearwater,FL,33755,,4,http://www.clearwaterjolleytrolley.com,,838281806,5,"9,165",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,,8,,8,,
40260,,Town of Lauderdale-By-The-Sea,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,4501 N. Ocean Drive,,,Lauderdale-By-The-Sea,FL,33308,,4,www.lauderdalebythesea-fl.gov,,86380268,2,"6,460",4,"Miami, FL",,"5,502,379","4,442","1,239",,,1,1,,
40261,,City of Dania Beach,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,100 W. Dania Beach Boulevard,,,Dania Beach,FL,33004,,4,http://daniabeachfl.gov/2213/Community-Bus-Service,,98525728,8,"31,446",4,"Miami, FL",,"5,502,379","4,442","1,239",,,2,2,,
40262,,Town of Davie,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,6591 Orange Drive,,,Davie,FL,33314,,4,http://www.davie-fl.gov/res/bus_link,,63804736,36,"100,882",4,"Miami, FL",,"5,502,379","4,442","1,239",,,5,5,,
40263,,City of West Park,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1965 South State Road 7,,,West Park,FL,33023,,4,http://www.broward.org/BCT/Documents/Services/WestParkWeb.pdf,,808445634,2,"15,097",4,"Miami, FL",,"5,502,379","4,442","1,239",,,1,1,,
40928,4R01-005,Baldwin County Commission,BRATS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,18100 County Road 54,,907,Bay Minette ,AL,36567,,4,http.//www.baldwincountyal.gov,,82060450,"2,027","210,000",458,"Daphne-Fairhope, AL",,"57,383","1,039",55,,40,,40,,
41068,4R02-028,Flagler Co. Public Transportation,FCPT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,1769 East Moody Blvd.,Bldg. 5,,Bunnell,FL,32110,5991,4,www.flaglercounty.org,6441,808206494,571,"99,121",109,"Palm Coast-Daytona Beach-Port Orange, FL",,"349,064","1,946",179,Y,24,,24,,
41105,4R04-020,"Audubon Area Community Services, Inc.",AACS,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2016,10/31/2016,1416 W. 9th St,,,Owensboro,KY,42301,,4,http://www.audubon-area.com/,,92567346,"2,693","216,306",391,"Owensboro, KY",,"70,543","2,086",34,,78,,78,,
41157,4R02-035,Citrus County Transit,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,2804 W. Marc Knight Ct,Suite B room 129,,Lecanto,FL,34461,,4,www.citruscountyfl.org,,72548563,49,"30,858",355,"Homosassa Springs-Beverly Hills-Citrus Springs, FL",,"80,962",895,90,,23,,23,,
44907,4T01,Catawba Indian Nation,CIN,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,996 Avenue of the Nations,,,Rock Hill,SC,29730,7645,4,http://www.catawbaindian.net/,6852,831001185,,,0,South Carolina Non-UZA,"Catawba Reservation, SC",0,0,0,,7,,7,,
44913,4T02,Eastern Band of Cherokee Indians,EBCI,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,,,2289,Cherokee,NC,28719,,4,http://www.cherokeetransit.com/,6726,74511999,75,"9,014",0,North Carolina Non-UZA,"Eastern Cherokee Reservation, NC",0,0,0,,21,,21,,
44919,4T03,Poarch Band of Creek Indians,PCI,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,5811 Jack Springs Road,,,Atmore,AL,36502,,4,http://www.poarchcreekindians-nsn.gov/,6749,86543469,0,0,0,Alabama Non-UZA,"Poarch Creek Reservation and Off-Reservation Trust Land, AL--FL",0,0,0,,3,,3,,
44925,4T04,Mississippi Band of Choctaw Indians,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,390 Industrial Rd ,Suite 1,,Choctaw,MS,39350,,4,http://www.choctaw.org/,6857,77646446,0,0,0,Mississippi Non-UZA,"Mississippi Choctaw Reservation, MS",0,0,0,,33,,33,,
44929,,City of Fort Lauderdale,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,290 NE 3rd Avenue,,,Fort Lauderdale,FL,33301,,4,http://www.fortlauderdale.gov/departments/transportation-and-mobility,,72219595,19,"87,887",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,,16,16,,
44932,,City of Tamarac,COT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,6001 Nob Hill Road,,,Taramac,FL,33321,,4,www.tamarac.org,,77270940,12,"63,793",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,2,,2,,
50001,5001,City of Appleton - Valley Transit, ,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,801 S.Whitman Avenue,,,Appleton,WI,54914,,5,http://www.appleton.org/vt/,2564,53090312,117,"216,154",165,"Appleton, WI",,"216,154","2,083",104,Y,21,53,74,,
50002,5002,Green Bay Metro,GBM,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,901 University Avenue,,,Green Bay,WI,54302,1013,5,http://www.greenbaymetro.org/,1247,74797028,90,"175,748",176,"Green Bay, WI",,"206,520","1,967",105,Y,25,13,38,,
50003,5003,Kenosha Transit,KT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,4303 39th Avenue,,,Kenosha,WI,53144,,5,http://www.kenosha.org/departments/transportation/index.html/,1256,78932589,27,"99,894",256,"Kenosha, WI-IL",,"124,064","2,423",51,Y,40,12,52,,
50004,5004,LaCrosse Municipal Transit Utility,La Crosse MTU,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,2000 Marco Drive,,,La Crosse,WI,54601,,5,http://www.cityoflacrosse.org/,1323,78673670,36,"71,201",298,"La Crosse, WI-MN",,"100,868","1,978",51,Y,16,14,30,,
50005,5005,Metro Transit System,Metro,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1245 East Washington Avenue,Suite 201,,Madison,WI,53703,,5,http://www.mymetrobus.com/,1910,76147909,72,"256,150",92,"Madison, WI",,"401,661","2,660",151,Y,194,60,254,,
50006,5006,Belle Urban System - Racine,The Bus,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,730 Washington Avenue,Attn: Kathleen Fischer,,Racine,WI,53403,1146,5,http://www.racinetransit.com/,1262,20472601,27,"112,100",239,"Racine, WI",,"133,700","2,706",49,Y,36,3,39,,
50007,5T07,Bay Mills Indian Community,BMIC,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,12140 Lakeshore Drive,,,Brimley,MI,49715,,5,http://www.BayMills.org/,7116,149727117,,,0,Michigan Non-UZA,"Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI; Bay Mills Reservation and Off-Reservation Trust Land, MI",0,0,0,,2,,2,,
50008,5008,Milwaukee County Transit System,MCTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1942 North 17th Street,,,Milwaukee,WI,53205,,5,http://www.ridemcts.com/,1260,80485402,237,"957,735",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,337,84,421,,
50009,5009,GO Transit,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,926 Dempsey Trail,,,Oshkosh,WI,54902,,5,http://www.rideGOtransit.com/,1266,48029839,25,"66,083",376,"Oshkosh, WI",,"74,495","2,418",31,Y,9,21,30,,
50010,5010,METRO Regional Transit Authority,METRO,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,416 Kenmore Boulevard,,,Akron,OH,44301,,5,http://www.akronmetro.org/,1235,77779239,420,"541,968",71,"Akron, OH",,"569,499","1,750",325,Y,208,,208,,
50011,5011,Stark Area Regional Transit Authority,SARTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,"1600 Gateway Boulevard, S.E.",,,Canton,OH,44707,3595,5,http://www.sartaonline.com/,1226,77784890,581,"375,586",135,"Canton, OH",,"279,245","1,678",166,Y,63,,63,,
50012,5012,Southwest Ohio Regional Transit Authority,SORTA / Metro,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,602 Main Street,Suite 1100,,Cincinnati,OH,45202,2549,5,http://www.go-metro.com/,2020,71283832,262,"845,303",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,299,51,350,,
50013,5T13,Red Cliff Band of Lake Superior Chippewa,,Red Cliff (Miskwaabekong) Transit,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,88455 Pike Road ,,,Bayfield,WI,54814,,5,http://redcliff-nsn.gov/,7006,86116654,,,0,Wisconsin Non-UZA,"Red Cliff Reservation and Off-Reservation Trust Land, WI",0,0,0,,1,,1,,
50015,5015,The Greater Cleveland Regional Transit Authority,GCRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1240 West 6th Street,,,Cleveland,OH,44113,1331,5,http://www.riderta.com/,1237,71136071,458,"1,412,140",25,"Cleveland, OH",,"1,780,673","2,307",772,Y,465,80,545,,
50016,5016,Central Ohio Transit Authority,COTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,33 N. High Street,,,Columbus,OH,43215,,5,http://www.cota.com/,1228,65996688,323,"1,059,314",36,"Columbus, OH",,"1,368,035","2,680",510,Y,295,64,359,,
50017,5017,Greater Dayton Regional Transit Authority,GDRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,4 South Main Street,, ,Dayton,OH,45402,2055,5,http://www.greaterdaytonrta.org/,1238,59113589,274,"559,062",59,"Dayton, OH",,"724,091","2,060",351,Y,178,,178,,
50019,5019,City of Middletown - Middletown Transit System,MTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,One Donham Plaza,,,Middletown,OH,45042,,5,http://www.cityofmiddletown.org/,1231,30949903,20,"49,490",308,"Middletown, OH",,"97,503","1,738",56,Y,5,,5,,
50020,5020,Springfield City Area Transit,SCAT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,100 Jefferson Street,,2239,Springfield,OH,45501,1265,5,http://www.scatrideline.com/,1242,79426334,25,"59,680",337,"Springfield, OH",,"85,256","1,741",49,Y,,12,12,,
50021,5021,Portage Area Regional Transportation Authority,PARTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,2000 Summit Road,,,Kent,OH,44240,,5,http://www.partaonline.org/,2113,831949086,492,"161,494",71,"Akron, OH",,"569,499","1,750",325,Y,52,,52,,
50022,5022,Toledo Area Regional Transit Authority,TARTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1127 West Central Avenue,,792,Toledo,OH,43697,792,5,http://www.tarta.com/,1243,54170600,140,"366,314",80,"Toledo, OH-MI",,"507,643","2,111",240,Y,169,92,261,,
50024,5024,Western Reserve Transit Authority,WRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,604 Mahoning Avenue,,,Youngstown,OH,44502,,5,http://www.wrtaonline.com/,1234,74550203,216,"238,823",97,"Youngstown, OH-PA",,"387,550","1,608",241,Y,51,,51,,
50025,5025,Duluth Transit Authority,DTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,2402 West Michigan Street,,,Duluth,MN,55806,1822,5,http://www.duluthtransit.com/,1221,809394302,72,"116,566",260,"Duluth, MN-WI",,"120,378","1,708",70,Y,50,7,57,,
50026,5026,"City of Moorhead, DBA: Metropolitan Area Transit",MATBUS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,500 Center Avenue,,779,Moorhead,MN,56561,,5,http://www.matbus.com/,1159,85357507,26,"46,339",194,"Fargo, ND-MN",,"176,676","2,514",70,Y,,11,11,,
50027,5027,Metro Transit,,Metro Transit,Active,Full Reporter,Urban,"Subsidiary Unit of a Transit Agency, Reporting Separately",,,,12/31/2016,4/30/2017,"560 Sixth Avenue, North",,,Minneapolis,MN,55411,4398,5,http://www.metrotransit.org/,1305,175974724,653,"1,837,223",16,"Minneapolis-St. Paul, MN-WI",,"2,650,890","2,594","1,022",Y,823,20,843,,
50028,5028,St. Cloud Metropolitan Transit Commission,Metro Bus,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,"665 Franklin Avenue, N.E.",,,St. Cloud,MN,56304,,5,http://www.stcloudmtc.com/,1223,135214724,29,"103,018",281,"St. Cloud, MN",,"110,621","2,202",50,Y,52,,52,,
50029,5029,Bay Metropolitan Transit Authority,Bay Metro,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,1510 North Johnson Street,,,Bay City,MI,48708,,5,http://www.baymetro.com/,1208,20842597,442,"106,832",390,"Bay City, MI",,"70,585","1,750",40,Y,52,,52,,
50030,5030,Battle Creek Transit,BCT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,339 West Michigan,,,Battle Creek,MI,49017,,5,http://www.battlecreekmi.gov/,1214,20893244,73,"87,735",363,"Battle Creek, MI",,"78,393","1,479",53,Y,21,,21,,
50031,5031,Suburban Mobility Authority for Regional Transportation,SMART,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,535 Griswold,Suite 600,,Detroit,MI,48226,,5,http://www.smartbus.org/,1209,101552941,"1,074","3,424,477",11,"Detroit, MI",,"3,734,090","2,793","1,337",Y,279,38,317,,
50032,5032,Mass Transportation Authority,MTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,1401 South Dort Highway,,,Flint,MI,48503,,5,http://www.mtaflint.org/,1216,20839320,640,"418,408",106,"Flint, MI",,"356,218","1,510",236,Y,200,2,202,,
50033,5033,Interurban Transit Partnership,The Rapid,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,"300 Ellsworth Avenue, S.W.",,,Grand Rapids,MI,49503,4005,5,http://www.ridetherapid.org/,1210,136563322,155,"417,978",70,"Grand Rapids, MI",,"569,935","2,031",281,Y,160,81,241,,
50034,5034,City of Jackson Transportation Authority,JTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,2350 East High Street,,,Jackson,MI,49203,3490,5,http://www.jacksontransit.com/,1217,602971053,724,"160,248",324,"Jackson, MI",,"90,057","1,562",58,Y,20,,20,,
50035,5035,Kalamazoo Metro Transit System,Metro Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,530 North Rose Street,,,Kalamazoo,MI,49007,,5,http://www.kmetro.org/,1211,38616249,69,"209,555",173,"Kalamazoo, MI",,"209,703","1,593",132,Y,28,41,69,,
50036,5036,Capital Area Transportation Authority,CATA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,4615 Tranter Avenue,,,Lansing,MI,48910,,5,http://www.cata.org/,1218,57676322,136,"287,598",118,"Lansing, MI",,"313,532","1,982",158,Y,113,63,176,,
50037,5037,Muskegon Area Transit System,MATS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,2624 Sixth Street,,,Muskegon Heights,MI,49444,,5,http://www.matsbus.com/,1212,105780063,499,"172,188",207,"Muskegon, MI",,"161,280","1,436",112,Y,23,,23,,
50038,5038,Niles Dial-A-Ride,DART,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,623 North Second Street,,,Niles,MI,49120,,5,http://www.nilesdialaride.org/,1128,86780111,120,"237,932",136,"South Bend, IN-MI",,"278,165","1,727",161,Y,5,,5,,
50039,5039,Saginaw Transit Authority Regional Service,STARS,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,615 Johnson Street,,,Saginaw,MI,48607,1575,5,http://www.saginaw-stars.com/,5007,9481628,63,"200,169",253,"Saginaw, MI",,"126,265","1,773",71,Y,32,,32,,
50040,5040,Ann Arbor Area Transportation Authority,AAATA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,2700 South Industrial Highway,,,Ann Arbor,MI,48104,,5,http://www.theride.org/,1220,50613900,110,"224,916",125,"Ann Arbor, MI",,"306,022","1,918",160,Y,95,65,160,,
50041,5041,City of Anderson Transportation System,CATS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,120 East Eighth Street,530 Dale Keith Jones Road,2100,Anderson,IN,46016,,5,http://www.cityofanderson.com/,1198,40637691,45,"55,305",330,"Anderson, IN",,"88,133","1,334",66,Y,15,,15,,
50042,5042,East Chicago Transit,ECT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,5400 Cline Avenue,,,East Chicago,IN,46312,,5,http://www.eastchicago.com/page10/page90/index.html,1193,108714270,11,"29,698",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,4,,4,,
50043,5043,Metropolitan Evansville Transit System,METS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,601 John Street,,,Evansville,IN,47713,2752,5,http://www.evansville.in.gov/METS/,2565,54276688,45,"122,961",159,"Evansville, IN-KY",,"229,351","1,930",119,Y,37,,37,,
50044,5044,Fort Wayne Public Transportation Corporation,Citilink,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,801 Leesburg Road,,,Fort Wayne,IN,46808,2571,5,http://www.fwcitilink.com/,1191,6937106,111,"268,485",119,"Fort Wayne, IN",,"313,492","1,821",172,Y,42,,42,,
50045,5045,Gary Public Transportation Corporation,GPTC,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,100 West 4th Avenue,,M-64903,Gary,IN,46402,,5,http://www.gptcbus.com/,1200,39339973,38,"102,746",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,20,,20,,
50047,5047,Bloomington-Normal Public Transit System,Connect Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,351 Wylie Drive,,,Normal,IL,61761,,5,http://www.connect-transit.com/,1181,79158168,46,"129,107",243,"Bloomington-Normal, IL",,"132,600","2,696",49,Y,36,,36,,
