ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,mode,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,city,state,zipcode,zipext,P.O. Box,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
40181,4181,Henry County Transit,HC,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,530 Industrial Boulevard,,McDonough,GA,30253,,,4,http://www.co.henry.ga.us/,6371,57047581,324,"213,869",9,"Atlanta, GA",,"4,515,419","1,707","2,645",Y,21,,21,,
40182,4182,Municipality of Toa Baja,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,Municipality of Toa Baja,,Toa Baja,PR,951,2359,2359,4,http://www.toabaja.com/,5415,603087248,30,"89,609",21,"San Juan, PR",,"2,148,346","2,479",867,Y,10,,10,,
40183,4183,Municipality of San Sebastian,MSS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,San Sebastian,PR,685,1603,1603,4,http://www.munss.org/,2037,805980752,71,"41,947",124,"Aguadilla-Isabela-San Sebasti?n, PR",,"306,196","1,280",239,Y,2,,2,,
40184,4184,The City of Bowling Green/Community Action of Southern Kentucky,CASK,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1001 College Street,,Bowling Green,KY,42101,1410,1410,4,http://www.casoky.org/transportation/,6384,74052374,15,"55,000",364,"Bowling Green, KY",,"78,306","1,725",45,Y,17,,17,,
40185,4185,Bay County Transportation Planning Organization,BTT,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,9/30/2015,1/31/2016,1021 Massalina Drive,,Panama City,FL,32401,,,4,http://www.baytowntrolley.org/,1035,619784523,58,"105,192",229,"Panama City, FL",,"143,280","1,559",92,Y,,34,34,,
40186,4186,City of Murfreesboro,Rover Public Transit,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,111 West Vine Street, ,Murfreesboro,TN,37133,1139,1139,4,http://www.murfreesborotn.gov/,6640,89553861,77,"133,228",241,"Murfreesboro, TN",,"133,228","1,723",77,Y,7,,7,,
40187,4187,York County Council on Aging,YCCOA,,Active,Reduced Reporter,Reduced Reporter,Private Provider Reporting on Behalf of a Public Entity, ,,,6/30/2015,10/31/2015,P. O. Box 11519,,Rock Hill,SC,29731,1519,11519,4,http://www.yccoa.com/,3242,153236864,31,"49,765",295,"Rock Hill, SC",,"104,996","1,098",96,Y,10,,10,,
40188,4188,Virgin Islands Department of Public Works,VIDPW,,Active,Reduced Reporter,Reduced Reporter,State Government Unit or Department of Transportation, ,,,9/30/2015,1/31/2016,8244 Sub Base,,St. Thomas,VI,802,5805,,4,http://dpw.vi.gov,2015,141544143,132,"89,246",600,"Virgin Islands, VI",,"106,405",794,134,Y,30,,30,,
40190,4190,"East Tennessee Human Resource Agency, Inc.",ETHRA,,Active,Reduced Reporter,Reduced Reporter,Other Publicly-Owned or Privately Chartered Corporation, ,,,6/30/2015,10/31/2015,9111 Cross Park Drive,Suite D100,Knoxville,TN,37923,,,4,http://www.ethra.org/,6498,146757880,"6,563","1,176,033",449,"Morristown, TN",,"59,036",987,60,Y,111,,111,,
40191,4191,Transit Authority of Central Kentucky,TACK Transportation,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1209 N. Dixie Hwy,,Elizabethtown,KY,42701,,,4,www.tacktransit.org,,81012197,929,"137,401",379,"Elizabethtown-Radcliff, KY",,"73,467","1,290",57,Y,56,,56,,
40192,4192,Martin County,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,2401 SE Monterey Road,,Stuart,FL,34996,,,4,http://www.martin.fl.us/,6060,71304562,65,"149,806",101,"Port St. Lucie, FL",,"376,047","1,807",208,Y,,9,9,,
40193,4193,Liberty Transit,LT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,10/31/2015,4/30/2016,115 Martin Luther King Jr. Drive,,Hinesville,GA,31313,2508,,4,http://www.libertytransit.org/,N/A,26758151,20,"31,932",486,"Hinesville, GA",,"51,456","1,652",31,N,,3,3,,
40194,4194,Municipality of Mayaguez,MAYAGUEZ MUN,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,Mayaguez,PR,681,,447,4,http://www.mayaguez.pr/,2011,134972710,11,"40,715",284,"Mayag?ez, PR",,"109,572","2,039",54,Y,11,,11,,
40195,4195,Municipality of San Lorenzo,MASL,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,Luis Munoz Rivera Station 5,,San Lorenzo,PR,754,1289,1289,4,http://www.sanlorenzopr.net/,5874,91052621,4,"32,500",21,"San Juan, PR",,"2,148,346","2,479",867,Y,9,,9,,
40196,4196,Kentuckiana Regional Planning and Development Agency,KIPDA,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,6/30/2015,10/31/2015,11520 Commonwealth Drive,,Louisville,KY,40299,,,4,http://www.kipda.org/,,77861094,"2,446","1,171,346",43,"Louisville/Jefferson County, KY-IN",,"972,546","2,040",477,Y,81,,81,,
40197,4197,Municipality of Lares,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,Lares,PR,669,,395,4,,6745,90594631,62,"30,753",124,"Aguadilla-Isabela-San Sebasti?n, PR",,"306,196","1,280",239,Y,11,,11,,
40198,4198,Municipality of Dorado,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,Dorado,PR,646,,588,4,http://www.doradoparaisodepuertorico.com/,1970,131436677,23,"38,165",21,"San Juan, PR",,"2,148,346","2,479",867,Y,4,1,5,,
40199,4199,Autonomous Municipality of Vega Alta,MUNVA,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1 Calle Gabriel Hernandez,Centro de Gobierno Irmo Figueroa,Vega Alta,PR,692,1390,1390,4,http://www.vegaalta.pr.gov,5462,153225995,28,"39,236",21,"San Juan, PR",,"2,148,346","2,479",867,Y,7,,7,,
40200,4200,Tampa Bay Area Regional Transportation Authority,TBARTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,4350 W. Cypress Street,Suite 700,Tampa,FL,33607,,,4,http://www.TBARTA.com/,,963243378,"2,554","2,395,997",17,"Tampa-St. Petersburg, FL",,"2,441,770","2,552",957,Y,,98,98,,
40201,4201,Municipality of Guaynabo,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,Guaynabo,PR,970,7885,7885,4,http://www.guaynabocity.gov.pr/Guaynabo/,1905,91113944,27,"97,950",21,"San Juan, PR",,"2,148,346","2,479",867,Y,14,,14,,
40203,4203,Enterprise Rideshare,,,Active,Full Reporter,Full Reporter,Private-For-Profit Corporation, ,,,7/31/2015,1/31/2016,5909 Peachtree Dunwoody Rd.,,Atlanta,GA,30328,,,4,http://www.vanpool.com/,,48832018,132,"432,247",9,"Atlanta, GA",,"4,515,419","1,707","2,645",Y,72,,72,,
40204,4204,Mid-Cumberland Human Resource Agency,MCHRA,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,1101 Kermit Drive,Suite 300,Nashville,TN,37217,,,4,http://mchratransit.org/,,78222536,"5,415","1,141,280",241,"Murfreesboro, TN",,"133,228","1,723",77,N,126,3,129,,
40205,4205,Iredell County Area Transportation Services,ICATS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,Statesville,NC,28687,,788,4,http://www.co.iredell.nc.us/,,74504507,576,"161,202",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,N,28,,28,,
40206,4206,Berkeley Charleston Dorchester RTMA,RTMA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,305 Heatley Street,,Moncks Corner,SC,29461,,,4,http://www.ridetricountylink.com/,1068,965398753,"2,800","664,607",76,"Charleston-North Charleston, SC",,"548,404","1,870",293,N,24,,24,,
40208,4208,City of Clemson/ Clemson Area Transit,CAT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,200 West Lane,,Clemson,SC,29631,,,4,http://www.catbus.com/,1118,51341444,17,"27,883",93,"Greenville, SC",,"400,492","1,251",320,N,22,,22,,
40209,4209,Hoke County,HATS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,316 Magnolia Street,,Raeford,NC,28376,,,4,http://www.hokecounty.org/,,91563643,392,"49,928",122,"Fayetteville, NC",,"310,282","1,567",198,N,13,,13,,
40210,4210,Craven County,CARTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2822 Neuse Boulevard,,New Bern,NC,28562,,,4,http://www.cravencountync.gov/,,91564294,"1,803","127,205",495,"New Bern, NC",,"50,503","1,163",43,N,26,,26,,
40213,4213,Autauga County Commission,ACRT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,218 North Court Street,Room 104,Prattville,AL,36067,,,4,http://www.autaugaco.com/,5600,830391996,154,"35,229",142,"Montgomery, AL",,"263,907","1,718",154,N,14,,14,,
40214,4214,Cabarrus County Transportation Services,CCTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1303 South Cannon Blvd,,Kannapolis,NC,28083,,,4,https://www.cabarruscounty.us/government/departments/transportation/Pages/default.aspx,,86861630,365,"181,468",167,"Concord, NC",,"214,881","1,192",180,Y,27,,27,,
40215,4215,Union County Transportation ,UCT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,610 Patton Avenue,,Monroe,NC,28110,,,4,http://www.co.union.nc.us/,,79051637,631,"207,896",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,N,24,1,25,,
40217,4217,Rowan Transit System,RTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2726 Old Concord Rd,,Salisbury,NC,28146,,,4,http://www.rowantransit.com/,,74494014,524,"138,428",167,"Concord, NC",,"214,881","1,192",180,Y,,19,19,,
40218,4218,Oldham's Public Bus,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,307 W. Jefferson Street,,LaGrange,KY,40031,,,4,lagrangeky.net,,74047200,7,"8,082",43,"Louisville/Jefferson County, KY-IN",,"972,546","2,040",477,N,2,,2,,
40220,4220,Pitt Area Transit System,PATS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1717 West 5th Street,,Greenville,NC,27834,,,4,http://www.pittcountync.gov/,,80889694,652,"174,263",266,"Greenville, NC",,"117,798","1,807",65,N,16,,16,,
40221,4221,Gaston County,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,816 W. Mauney Street,,Gastonia,NC,28052,,1578,4,http://www.co.gaston.nc.us/,,71062186,364,"211,127",200,"Gastonia, NC-SC",,"169,495","1,223",139,N,28,,28,,
40222,4R06-094,Wake County DSS,TRACS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,220 Swinburne St,,Raleigh,NC,27610,,,4,http://www.wakegov.com/humanservices/social/transportation,,808550156,861,"1,024,198",50,"Raleigh, NC",,"884,891","1,708",518,N,,47,47,,
40223,4223,Cumberland County,CTP,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,130 Gillespie Street,,Fayetteville,NC,28301,,,4,http://www.fampo.org/ctp/,,88571690,658,"329,403",122,"Fayetteville, NC",,"310,282","1,567",198,N,,12,12,,
40224,4224,Buncombe County,Mountain Mobility,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,c/o Buncombe County Planning and Development,46 Valley Street,Asheville ,NC,28801,,,4,http://www.buncombecounty.org/transportation,,829765754,657,"238,318",133,"Asheville, NC",,"280,648","1,060",265,Y,,38,38,,
40225,4225,Alamance County Transportation Authority,ACTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1946 Martin Street,Suite C,Burlington,NC,27216,2746,2746,4,http://acta-nc.com/,,832393677,435,"153,033",261,"Burlington, NC",,"119,911","1,326",90,N,27,,27,,
40226,4226,"Mountain Projects, Inc.",MPI,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,2251 Old Balsam Road,,Waynesville,NC,28786,7759,,4,http://mountainprojects.org/,,131413353,546,"59,690",133,"Asheville, NC",,"280,648","1,060",265,N,17,,17,,
40227,4227,Onslow United Transit System,OUTS,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,, ,Jacksonville,NC,28540,,1548,4,http://www.onslowunitedtransit.org/,,830272782,795,"190,187",294,"Jacksonville, NC",,"105,419","1,478",71,N,17,,17,,
40228,4228,Mecklenburg County DSS,MCTS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,301 Billingsley Road,,Charlotte,NC,28211,,,4,http://charmeck.org/mecklenburg/county/dss/admin/pages/mecklenburgtransportationsystem.aspx/,,124745035,31,"962,593",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,N,22,8,30,,
40229,4229,Henderson County/ Apple Country Public Transit,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,Henderson County Planning Department,100 N. King St.,Hendersonville,NC,28792,,,4,http://www.applecountrytransit.com/,,17056451,39,"71,227",133,"Asheville, NC",,"280,648","1,060",265,Y,,4,4,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,COA DPW,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,55 Trinity Ave SW,Suite 4700,Atlanta,GA,30303,324,,4,http://www.streetcar.atlantaga.gov/,2879,653725000,132,"447,841",9,"Atlanta, GA",,"4,515,419","1,707","2,645",N,3,,3,,
40231,4231,Orange Public Transportation,OPT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,131 W. Margaret Lane,,Hillsborough,NC,27278,,8181,4,http://www.co.orange.nc.us/transportation/index.asp/,,91575191,401,"139,738",110,"Durham, NC",,"347,602","1,913",182,N,8,,8,,
40232,4232,Central Florida Commuter Rail,SunRail,,Active,Full Reporter,Full Reporter,State Government Unit or Department of Transportation, ,,,6/30/2015,10/31/2015,801 SunRail Drive,,Sanford,FL,32777,,,4,http://SunRail.com/,1001,809397102,110,"255,483",32,"Orlando, FL",,"1,510,516","2,527",598,N,,30,30,,
40233,4233,City of Salisbury - Salisbury,Salisbury Transit,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,Transit Division,,Salisbury,NC,28145,479,479,4,http://www.salisburync.gov/transit/,,74517020,23,"35,416",167,"Concord, NC",,"214,881","1,192",180,N,3,,3,,
40234,4234,Autonomous Municipality of Ponce,MAP,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,,,Ponce,PR,733,1709,331709,4,http://www.visitponce.com/,3049,91127365,40,"79,650",218,"Ponce, PR",,"149,539","3,389",44,N,7,,7,,
40235,4235,"Aiken Area Council on Aging, Inc.",,,Active,Reduced Reporter,Reduced Reporter,Area Agency on Aging, ,,,6/30/2015,10/31/2015,Post Office Box 3156,,Aiken,SC,29801,,,4,aikensenior.org,,163047590,"1,080","160,099",98,"Augusta-Richmond County, GA-SC",,"386,787","1,490",260,Y,16,,16,,
40236,4236,City of Marietta,,,Active,Building Reporter,Building Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,205 Lawrence Street,,Marietta,GA,30061,609,609,4,,,78104403,,,9,"Atlanta, GA",,"4,515,419","1,707","2,645",Y,,,,,
40237,4237,Lancaster County Council on Aging,Lancaster Area Ride Service,LARS ,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,,,Lancaster,SC,29721,,1296,4,http://lancastercoa.org,,869074435,555,"83,160",38,"Charlotte, NC-SC",,"1,249,442","1,685",741,N,16,,16,,
40238,,City of Coconut Creek,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,4900 W. Copans Road,,Coconut Creek,FL,33063,,,4,http://www.coconutcreek.net/,1082,77275063,12,"58,536",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,4,,4,,
40239,,City of Deerfield Beach/ North East Focal Point Senior Center,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,227 NW 2 Street,,Deerfield Beach,FL,33441,,,4,http://www.deerfield-beach.com/,0,86382090,16,"78,881",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,7,,7,,
40240,,City of Lighthouse Point,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,4730 NE 21st Terrace,,Lighthouse Point,FL,33064,,,4,http://www.lighthousepoint.com/,1082,20549952,2,"10,344",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,1,,1,,
40241,,City of Miramar - Public Works Department,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,13900 Pembroke Road,"WWRF Building L, 2nd Floor",Miramar,FL,33027,,,4,http://www.ci.miramar.fl.us/,0,76041334,30,"134,989",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,8,,8,,
40244,,"Spartanburg Regional Health Services, Inc.",SRHS,,Active,Full Reporter,Full Reporter,Other Publicly-Owned or Privately Chartered Corporation, ,,,9/30/2015,1/31/2016,101 E. Wood Street,Transportation Services Division,Spartanburg,SC,29303,,,4,https://www.spartanburgregional.com/patients-visitors/community-services/transportation-services/,0,52072048,811,"293,514",192,"Spartanburg, SC",,"180,786",951,190,Y,42,,42,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Clay Transit,,Active,Full Reporter,Full Reporter,Private-Non-Profit Corporation, ,,,12/31/2015,4/30/2016,604 Walnut St.,,Green Cove Springs,FL,32043,,,4,www.claytransit.com,0,20988697,604,"203,967",40,"Jacksonville, FL",,"1,065,219","2,009",530,Y,37,,37,,
41068,4R02-028,Flagler Co. Public Transportation,FCPT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,1769 East Moody Blvd.,Bldg. 5,Bunnell,FL,32110,5991,,4,www.flaglercounty.org,6441,808206494,571,"99,121",109,"Palm Coast-Daytona Beach-Port Orange, FL",,"349,064","1,946",179,Y,26,,26,,
44907,4T01,Catawba Indian Nation,CIN,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,996 Avenue of the Nations,,Rock Hill,SC,29730,7645,,4,http://www.catawbaindian.net/,6852,831001185,0,0,0,South Carolina Non-UZA,"Catawba Reservation, SC",0,0,0,,7,,7,,
44913,4T02,Eastern Band of Cherokee Indians,EBCI,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,,,Cherokee,NC,28719,,2289,4,http://www.cherokeetransit.com/,6726,74511999,75,"9,014",0,North Carolina Non-UZA,"Eastern Cherokee Reservation, NC",0,0,0,,13,,13,,
44919,4T03,Poarch Band of Creek Indians,PCI,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,5811 Jack Springs Road,,Atmore,AL,36502,,,4,http://www.poarchcreekindians-nsn.gov/,6749,86543469,0,0,0,Alabama Non-UZA,"Poarch Creek Reservation and Off-Reservation Trust Land, AL--FL",0,0,0,,3,,3,,
44925,4T04,Mississippi Band of Choctaw Indians,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,390 Industrial Rd ,Suite 1,Choctaw,MS,39350,,,4,http://www.choctaw.org/,6857,77646446,0,0,0,Mississippi Non-UZA,"Mississippi Choctaw Reservation, MS",0,0,0,,29,,29,,
44929,,City of Fort Lauderdale,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,290 NE 3rd Avenue,,Fort Lauderdale,FL,33301,,,4,http://www.fortlauderdale.gov/departments/transportation-and-mobility,,72219595,21,"52,353",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,,6,6,,
44932,,City of Tamarac,COT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,6001 Nob Hill Road,,Taramac,FL,33321,,,4,www.tamarac.org,,77270940,12,"63,793",4,"Miami, FL",,"5,502,379","4,442","1,239",Y,2,,2,,
50001,5001,City of Appleton - Valley Transit,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,801 S.Whitman Avenue,,Appleton,WI,54914,,,5,http://www.appleton.org/vt/,2564,53090312,117,"216,154",165,"Appleton, WI",,"216,154","2,083",104,Y,21,64,85,,
50002,5002,Green Bay Metro,GBM,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,901 University Avenue,,Green Bay,WI,54302,1013,,5,http://www.greenbaymetro.org/,1247,74797028,90,"175,275",176,"Green Bay, WI",,"206,520","1,967",105,Y,25,13,38,,
50003,5003,Kenosha Transit,KT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,4303 39th Avenue,,Kenosha,WI,53144,,,5,http://www.kenosha.org/departments/transportation/index.html/,1256,78932589,27,"99,894",256,"Kenosha, WI-IL",,"124,064","2,423",51,Y,38,9,47,,
50004,5004,LaCrosse Municipal Transit Utility,La Crosse MTU,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2000 Marco Drive,,La Crosse,WI,54601,,,5,http://www.cityoflacrosse.org/,1323,78673670,36,"71,201",298,"La Crosse, WI-MN",,"100,868","1,978",51,Y,16,14,30,,
50005,5005,Metro Transit System,Metro,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1245 East Washington Avenue,Suite 201,Madison,WI,53703,,,5,http://www.mymetrobus.com/,1910,76147909,72,"256,150",92,"Madison, WI",,"401,661","2,660",151,Y,194,60,254,,
50006,5006,Belle Urban System - Racine,The Bus,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,730 Washington Avenue,Attn: Kathleen Fischer,Racine,WI,53403,1146,,5,http://www.racinetransit.com/,1262,20472601,27,"112,100",239,"Racine, WI",,"133,700","2,706",49,Y,36,3,39,,
50007,5T07,Bay Mills Indian Community,BMIC,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,12140 Lakeshore Drive,,Brimley,MI,49715,,,5,http://www.BayMills.org/,7116,149727117,,,0,Michigan Non-UZA,"Bay Mills Reservation and Off-Reservation Trust Land, MI; Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI",0,0,0,,1,,1,,
50008,5008,Milwaukee County Transit System,MCTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1942 North 17th Street,,Milwaukee,WI,53205,,,5,http://www.ridemcts.com/,1260,80485402,237,"956,406",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,343,90,433,,
50009,5009,GO Transit,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,926 Dempsey Trail,,Oshkosh,WI,54902,,,5,http://www.rideGOtransit.com/,1266,48029839,25,"66,083",376,"Oshkosh, WI",,"74,495","2,418",31,Y,9,23,32,,
50010,5010,METRO Regional Transit Authority ,METRO,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,416 Kenmore Boulevard,,Akron,OH,44301,,,5,http://www.akronmetro.org/,1235,77779239,420,"541,824",71,"Akron, OH",,"569,499","1,750",325,Y,209,,209,,
50011,5011,Stark Area Regional Transit Authority,SARTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,"1600 Gateway Boulevard, S.E.",,Canton,OH,44707,3595,,5,http://www.sartaonline.com/,1226,77784890,581,"375,087",135,"Canton, OH",,"279,245","1,678",166,Y,63,,63,,
50012,5012,Southwest Ohio Regional Transit Authority,SORTA / Metro,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,602 Main Street,Suite 1100,Cincinnati,OH,45202,2549,,5,http://www.go-metro.com/,2020,71283832,262,"845,303",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,298,48,346,,
50013,5T13,Red Cliff Band of Lake Superior Chippewa,,Red Cliff (Miskwaabekong) Transit,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,88455 Pike Road ,,Bayfield,WI,54814,,,5,http://redcliff-nsn.gov/,7006,86116654,,,0,Wisconsin Non-UZA,"Red Cliff Reservation and Off-Reservation Trust Land, WI",0,0,0,,1,,1,,
50015,5015,The Greater Cleveland Regional Transit Authority,GCRTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1240 West 6th Street,,Cleveland,OH,44113,1331,,5,http://www.riderta.com/,1237,71136071,458,"1,412,140",25,"Cleveland, OH",,"1,780,673","2,307",772,Y,473,74,547,,
50016,5016,Central Ohio Transit Authority,COTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,33 N. High Street,,Columbus,OH,43215,,,5,http://www.cota.com/,1228,65996688,337,"1,081,405",36,"Columbus, OH",,"1,368,035","2,680",510,Y,284,77,361,,
